Customer Name,Title,Comments
T.,Super impressed,"Super impressed! Jordy was very personable, engaging, experienced and the utmost professional. Headache, aches and pains all gone, feeling great."
Meghan,Best Massage & all from home!,Easy to book and even better that you can have a great massage in the comfort of your own home!
customer,I loved it !,I loved it fantastic service !
customer,Fantastic professional service,Fantastic professional service. Wonderful massage too
customer,Stephens professional knowledge and commitment,Thankyou very much Stephen was on time and very professional and so knowledgeable and productive utilising his knowledge and remedies to heal the stressful injuries on my body.
Shecooo,Amazing App,Great to know that there are still people with loyal hard working efforts to release and heal.
customer,Very relaxing massage and friendly…,The experience with Blys was easy and awesome👍
Emma,I really enjoyed this service it was…,"Very relaxing massage and friendly therapist, would highly recommend."
DChill,Always professional and expert skills,I really enjoyed this service it was super easy to book they also offer afterpay!
Briar,Great and easy to use service,The therapist Jackie was amazing she was soo friendly and u felt very comfortable having her in my home. I recommend this service it’s pretty affordable aswell
Jackie,Amazing massage therapist and…,"I've been using this service for over two years.  As an ex masseuse, I can say that I've only ever had good experiences no matter who i book with.  The updates to the app have also been appreciated.  More booking choices and easier ability to claim on health insurance are useful."
09fs,Sonia was amazing! Great gift from me to me :),"Great and easy to use service, always a pleasure to deal with any massage therapist sent to me by Blys"
Veethava,The therapists were amazing,Amazing massage therapist and professionalism work.
Bianca,Highly recommend,"Sonia was amazing! This was a birthday present from me to me :) and I thought it was just going to be a standard massage, but I’ve had some very bad pain in my lower back from working at home which Sonia was able to really work on and help me with!"
Dee,Best pregnancy massage I’ve ever had,The therapists were amazing. So professional from start to finish. The app was so easy to use even to modify the booking.
customer,Great service,"Great app, easy to use and most importantly, amazing massage therapists!"
Emily,Great first time experience,"Best pregnancy massage I’ve ever had. Jenny was on time, friendly and very knowledgeable - would definitely recommend!"
Kris,Great massages,"Friendly, professional, great service!"
customer,Absolutely amazing,Highly recommend.
Naomi,Totally get Blys to come to your house,Great first time experience. Would use again
customer,Excellent service,Easy to book with a very quick response time. Emily my therapist was fantastic and very professional. So relaxing to have a therapeutic massage in the comfort of your own home.
customer,Easy to book with a very quick response…,Amazing service. Professional and very relaxing would recommend to family and friends. Easy to understand and book exactly what you want
Isaac,On time and professional!,One of the best massages I have ever had.
customer,Amazing service,Thank you so much for organising Chi so quickly. The process was seem less and I couldn’t be happier with the masseuse. I will definitely be booking again
customer,One of the best massages I have ever…,I discovered Blys when desperatly trying to find a remedial massuse the same day.  I was so pleased when I was able to put a request in to have it accepted within the hour and be having a massage in my own home 2 hours later.  Will definitely use again and recommend.
Jamie,Best massage company ever,Very convenient service. Viviana was the best. She can find knots seamlessly. Felt so much lighter afterwards.
Lorraine,I discovered Blys when desperatly…,"Streamlined, easy organisation of our massage session - just the right amount of communication with clients via the app, whilst maintaining privacy. Reliable company."
Ali,Very convenient service,Very simple and easy to book and excellent service.
AJ,Streamlined,Chantal was very knowledgeable and did a really good massage. Highly recommended.
Daniel,Great Service,Fantastic services
Sumanpreet,Chantal was very knowledgeable and did…,"A friend and I spent the night away to have a break and to top it off we got massages from Blys, the lady we got was magnificent, she knew exactly how to relax us and would recommend them to anyone."
customer,Fantastic !,Professional and easy to use. The massage was amazing. Didn’t see that there were any safety functions on the app as that could be a concern for users.
customer,A friend and I spent the night away to…,"Couples massage - Was Amazing, we feel so relaxed and can't wait to book our Lady's for next month."
customer,Professional and easy to use,We had the most lovely people come to do our massages! The massage was so relaxing!! I will 100% be booking through this company again!!
customer,Couples massage,The service was good however I asked for a female therapist and was sent a man
Stephanie Gambetta,AMAZING relaxation massage,Fantastic experience from start to finish. Can’t wait to rebook.
Brad Hagi,The service was good however I asked…,So convenient and easy to use. Found a great masseuse on here and I just keep booking with him. The app makes it super fast and I love that they do afterpay.
Kate,Fantastic experience from start to…,"I have had three massage experiences with three different masseuse - is been great to take the opportunity to try different people's style. The Blys system works perfectly, and I get more befit from being able to relax in my own home after the massage, rather than having to travel straight afterwards."
Rebekah,Brilliant service!,"Super easy booking platform, lovely therapist, great service!"
customer,Massage was great,"Massage was great, booking confirmation was a bit last minute though"
customer,Very professional and got the hard…,Very professional and got the hard spots good. Feel good after and nowhere near as tight.
Brett,A very good experience,A very good experience.  Excellent massage from Lily. Professional and Proficient.
William,Really great service and very handy,Reqlly great service and very handy. I was looking after my toddler by myself so when they went to bed I booked a massage. So enjoyable.
customer,very happy with the service very…,very happy with the service very professional
April,Super easy to book,"Super easy to book, therapist was great and very professional"
customer,Amazing,Super beninificial
Crissey,Great experience and easy to organise,"Easy to use app, awesome massage. Highly recommend and will use again. So good to have someone come to your home!!"
Christie,Highly recommended,"Wish they'd tell you during booking that you need to specify your health fund provider, though. Even a box to tick yes or no would be good."
Joshua Davis,Safe,"Safe, reliable he knew his stuff.. was very impressed  thank you soooo much"
Marvin,Telly was amazing and super friendly,Telly was amazing and super friendly. I’ll definitely be booking her again! Marvin
Jessica,Hands down one of the best massages…,Hands down one of the best massages I’ve ever received I’m looking forward to my next one  so convenient having someone come to the house Would definitely recommend
customer,Professionals,Professional company. Clean service and very good
Zoe Thompson,Was a great experience,"Was a great experience, very professional and a easy booking process."
Kim,Great massages,The massage was great I highly recommend
customer- dr.k,Great experience,Great massages. Professional team
Rona,Massage,Great experience. Will book again.
customer,Very Professional service,I booked a massage to have on the same day fantastic took no longer than 3 mins to hear back that my booking was confirmed prices are amazing Po was professional
customer,My husband and I both received a deep…,The massage therapist was very knowledgeable and experienced. The booking experience was a breeze. Will definitely recommend and use again.
Kate M,Highly recommended,"Really easy to use app. Fast response. I didn't expect to get a booking the next day, but I did! The therapist was super professional and maintained infection control practices throughout."
Belinda,Amazing services,Really brilliant service. Thankyou Blys!
customer,Very convenient to work with,"Very easy to book and amazing, professional services."
Belinda,Absolute 5 star!!,Very convenient to work with
Amdrea,Great experience!,Professional!!!
Olivia Dunkley,Highly recommend this therapist,Can’t thank Doyoung enough for the most amazing massage! Next time I’m back in Sydney I will be booking in with him again.
Theresa,Outstanding,A Very polite and professional service. 5 star!
Michelle,Very prompt & professional,"Danny’s massage was the perfect combination of remedial and relaxing, I felt like I was floating. He knew exactly the right areas to treat with the right amount of pressure and he was very professional and calming, didn’t talk my ear off, and listened to my needs. Thank you!"
Benny,Best massage App I’ve ever used,Outstanding. Jesus was very professional and made me feel comfortable. He checked in with me throughout the massage. A great massage. Thank you!
customer,Excellent the ladies where amazing!,Very prompt & professional. Great service
Raghwan Satya,Giovanni did great job relaxing my…,Best massage App I’ve ever used.. So easy and convenient. Should be more apps like this
customer,great!,"Giovanni did great job relaxing my lower back pain. He is good, knows his stuff, professional and very easy to communicate with him. Thanks Blys for the professional treatment! Raghwan"
Laura,Easy and relaxing,great! so convenient!
Jay,Go download the app!,"Really easy to book. Transparent and safe. Massage was great quality, relaxing, easy and could even track the therapist on their way."
customer,Convenient,First time user and I’m so happy I downloaded the app. Great service and full details on what to expect. Very happy!!! :)
customer,Best massage I’ve ever had,"Convenient, and a great service."
HW,Easy to book and wonderful service,"I my first at home couples massage and the entire experience from booking to the actual massage was excellent. The booking process was simple, the therapists assigned were both very punctual and considerate to the pressure applied. Needless to say we will be booking again and hopefully we'll get the same therapists if they are available."
Mabel and Kathy,First at Home Couples Massage Brilliant Experience,Maddalena was fantastic!! I'm so grateful for her gentle caring nature and brilliant massage. I wouldn't hesitate to book again!!
Therese Clifford,Maddalena was fantastic!,Excellent job!. Highly recommend!.
Brad,"Fast, friendly, and professional",Great service from both the platform and therapist. Typical man I left my wife's birthday to the last minute and only booked the day before. She's also 24 weeks pregnant so to have someone with suitable experience come to our home at short notice and reasonable price was amazing!
customer,First experience with blys,Had a good first experience with a great masseuse. Very friendly and professional.
customer,App very easy to use!,Great experience. Couldn’t get 2 therapists for a couples massage as first wanted but a back to back massage session was a close second!
Emily,Great experience and excellent communication,Super easy to organise and excellent communication the whole way through! Our therapist was excellent and very experience and just a lovely person!
Jeremy,Blys Review,Would 100% recommend!
Tracey,Jesus visited us today 🙏,"The site is easy to use to make and manage appointments. The app is also very good for keeping track of upcoming appointments, particularly knowing when the therapist was expected to arrive."
Nigel Cooper,Great massage,Jesus came over today to do 2 home massages
Jenna,Chi was amazing will Deffinatley use…,By the time he left I could walk on water
customer,Great service and very smooth app,Such healing hands and a real lovely guy
customer,Very good service,Easy to book and great massage. Will be back
customer,I’ve had three excellent massage…,Chi was amazing will Deffinatley use him again.
Ashlee Ferguson,Eddie and Julia were so amazing and…,Very good service
customer,First massage was great,They are very professional
customer,Good communication,"I’ve had three excellent massage therapists over the last couple years, I like that you can request to rebook with someone you’ve had before."
customer,It was my first time having a massage…,Eddie and Julia were so amazing and really knew their stuff. Thank you so much!!
Jen,Easy to use and prompt reply love it !,First massage was great. Would have given 5 stars but app a bit awkward to use as had to type blind in places as keyboard covers text area and can't seem to scroll to avoid that issue
customer,Fabulous!!,Had a few issues with a voucher but was solved quickly and staff were very attentive and followed up to ensure everything was ok
customer,Relax at home,It was my first time having a massage at home and I loved it. David arrived on time and was very professional. The app was easy to use.
Sabrina Groenewald,Great massage,Fabulous service highly recommended
customer,Excellent,Easy to book. Late night appointments available. Very friendly and capable massage therapist in the comfort of your own home. Highly recommend using this service
Caitlin,Amazing massage,Amazing massage! 10/10 recommend
Josie S,Very happy customer :-),"I absolutely loved my Blys experience with Jackie - she was friendly, professional, an excellent masseuse and I felt so relaxed after the treatment. I will definitely be using Blys again!"
customer,Great service,"Ronald and Danny were fantastic. Listened to concerns, were on time, very friendly and our massages were very good. Just what we needed for our weekend staycation!"
Steph,Ronald and Danny were fantastic,A great app! So easy to use
Chris,A great app,Professional and talented massage therapists.  I have had brilliant massages from Blys therapists.
customer,Fantastic experience!,Excellent massage service and easy to book on same day as well.
customer,Po was great thank you,Great experience. Very professional
customer,Professional and talented massage…,"Easy to use, great service"
Sree,Excellent massage service and easy to…,Making an appointment was super easy! My first time using this and my massage was amazing! I will definitely be rebooking my next massage soon!
customer,Great experience,"I can not recommend Steven from Melbourne enough. Probably the most wonderful massage I’ve ever had. The whole experience was fabulous, especially from"
Rebecca,Recommended,"the comfort of my own home. Thanks so much,"
Dianne,Loved it!,Sarah
Sarah O'Brien,I can not recommend Steven from…,"Easy to use app with professional, friendly and reliable masseurs/ masseuses"
Ian S,Easy to use app/ excellent service,"Good service, friendly and respectful but I Booked twice with no one showing up, was refunded -1$ not sure if that’s going to be returned but no big dramas. Rebooked for the third time and wanted to cancel a few hours before but was told the full amount would still be taken out. If they can’t confirm bookings you get nothing in return, if you want to not confirm a booking you lose the whole amount."
customer,Average,We had a fantastic experience.Chantal arrived on time and was very professional.She knows her stuff.Also I think the website and app are cutting edge and very user friendly.Would defiantly recommend to others.
Andrew,We had a fantastic experience.,I requested a same day booking and the process was extremely efficient. I had a therapist confirmed within 20 minutes.
customer,Fab experience highly recommend,Anne Marie was a fantastic therapist and I thoroughly enjoyed my 90 mins Swedish massage.
John mcguinness,It was awesome Jackie help my neck so…massage,It was awesome Jackie help my neck so much I usually live every day with my spin after she massage me it was so good i wasn’t in pain much
customer,Excellent service,"Excellent service, highly recommend"
Andrew Canberra,happy customer,"Personable, professional and relaxing massage. Thank you."
customer,Professional and excellent service,Professional and excellent service. I received a great massage and will be rebooking and recommending Blys to my friends and family.
customer,Always amazing,Fantastic service. Really professional and good massage. Helped me at a time of real pain. Good work
customer,Great experience!,Really great first experience with Blys! So quick to confirm a therapist and so easy to use.
customer,Fantastic service,Very good service and deep tissue massage by stephen.
Fiona,Great first experience,I used blys to book a massage online. Very easy process and therapist was great.
Alun Williams,Very good service and deep tissue…,Got exactly what I asked for and helped with advice for further treatments to use between sessions
customer,Online massage Blys. Great!,"Easy to use, convenient not to have to leave home!"
Mr Ashley Daniels,Great massage,"Fantastic service. I booked a back-to-back massage for my partner and I as we recently had a baby & don't like to leave the house much just yet. Massages were fantastic, have recommended to friends and will definitely book it again!"
customer,Easy to use,This was my first time using Blys and it won't be my last.
Nat,Fantastic service,The experience was so easy from the get go.
Tek Gou,Blys lives up to its name,Setting up a booking for a massage was a cinch (I could even select my preferred choose of therapist) and from there everything is taken care of.
customer,Great massage,The massage was sublime and comfortable and I didn't need to leave my house to enjoy it!
Mark,Brilliant,"Great massage, that targeted my areas of need. Pressure could be changed as needed. Very skilled."
Jenelle,Wonderful massage!,"Brilliant, never had a more effective or more attentive and caring massage.  She really focused on the horribly knotty spots, but also provided all over gentle care.  Super easy going and easy to talk to, and unlike most in store businesses a 90 minute massage is actually a full 90 minutes on the table with hands on. Even the oil used has left me feeling soft and cleaner with no residue. A life long regular right here!  Thank you for allowing me a decent night sleep and for relieving my headache and constant aches from being in so much pain."
Pam,Easy to book,"Very convenient, I love having a massage in my own home. Both sessions I’ve had with Blys have been wonderful!"
Bon,Always excellent customer service and…,"Loved the experience. Booking & payment is very easily processed through the app, and our massage was amazing. Even better that we never had to leave home! We definitely plan on booking through Blys again."
customer,Best way to pass time at the hotel,Always excellent customer service and even better experience.
ljh,easy fast professional a great app and…,"First time using the service while traveling, and it was super convenient to organize at my hotel. Thanks!"
Joel,Ingrid is a great masseuse,easy fast professional a great app and service
customer,Masseuse was great,Ingrid is a great masseuse. I felt so much better after the massage. She is a true professional with great manners.
customer,"Easy, on demand, professional",Can’t wait to use again.
C Jean,Simple and Relaxing,I found Blys simple to use and felt safe and comfortable with the massage therapist who visited my home.
Ming,Massage,It was wonderful to not have to commute to and from the therapy session.
Sean Beecher,Stephanie was amazing,"Great experience, reliable and efficient service."
customer,great service I was very pleased thank…,"Stephanie was amazing: kind, caring and highly professional. Would definitely recommend her."
customer,Great service,great service I was very pleased thank you I would recommend everyone Thanks
Robert Hills,Great experience,"Great service, arrived early, very professional and friendly. Therapist did a fantastic job, feeling so relaxed post massage."
customer,Love Blys,Great experience. Excellent therapist. Would highly recommend.
customer,Able to fit me in at such short notice,Love Blys! I've had a fantastic experience on all four occassions that I've used the service.
Rachel Simpson,Fantastic experience,My massage therapist Ime King was fantastic. I feel so much better after my experience. Thanks Ime!
customer,Very convenient and excellent mobile…,Very convenient and excellent mobile massage service!
Eileen Bamblett,Loved the at home experience,My daughter gave me a 60 min voucher to BLYS for mothers day and I added an extra 30 min online when booking
justine nay-potter,I received a massage voucher for my…50th birthday,"No dramas throughout the process, texts and updates on what to do and expect and confirmation as well as tracking info"
Anna,Great massage,My therapist Steven was absolutely amazing
Fay,Worth it,He wasn't even put off by my 3 dogs misbehaving
customer,Excellent service,"Professional and polite, knew his stuff"
Cheryl,Good therapists very professional,Will definitely book again soon
AV,Incredible massages!,Thumbs up !!
customer,Loved it,I received a massage voucher for my 50th birthday and it was wonderful.
Katrina Cohen,Really happy with the service and it’s…,Jackie arrived right on time and set up in no time.
customer,Easy and efficient,Easy and efficient. Best massage I’ve ever had
Purvi,The Therapist was excellent but disappointed with the communication through app,The Therapist was excellent and gave a good massage. She exactly knew where to give more pressure and where to not.
Laura,Professional and a great massage!!,But disappointed with the Blys app. I was not notified about the time that my therapist is coming  Home. It did not received any communication or notification in advance.
Emma,Excellent customer service and loved my…,Professional and a great massage!!! Can’t wait for my next one.
Karla,I loved my experience with Blys,Excellent customer service and loved my pregnancy massage it was exactly what I needed. Thanks again
Dana,Staff are so nice and helpful,I loved my experience. It was very easy to organise & I loved Ken who gave the most fantastic massage.
Kate,"Great service, excellent in these times",Staff are so nice and helpful. Great support and easy to navigate the phone app.
customer,Great friendly service follow up…,"Very easy to use, someone was available within 2 hours of booking. Great service, very relaxing and easy without having to leave the comfort of home. Brought everything needed and very professional"
Alisi Gilsenan,AN AMAZING EXPERIENCE,Great friendly service follow up booking engine and of course great skilled masseuse.
customer,Massage to relax and rejuvenate,Zulmara has given me the most amazing experience.
customer,Wonderful experience all round!,"It was  peaceful, relaxing and almost spiritual."
customer,Great app,"I have never had this experience before, I told my husband who was at home, how amazing the experience is."
customer,Magic,I rang my daughter straight away to thank her for the beautiful massage she’d given me for Mother’s Day.
customer,I will definitely be making this apart of my monthly routine.,Please thank Zulmara for me.
Marina,Amazing massage at home!,"Sincerely,"
Connie Dinu,WHAT AN AMAZING EXPERIENCE..,Alisi
Tia Rae,Very happy!,"Masseuse was on time, welcoming, informative and although I have had many massages in the last 20 years, my therapist was a 5/5."
Hayley,This was the second time we had a Blys…,"Great app, timely and professional therapists. Support section not great - call if you have a problem"
Perri,Excellent service,Maaaaaaaagic
customer,Gemma is fantastic,Very professional and on time. I really feel a difference since my deep tissue massage.
Shae,5 star rating.  100% recommended,Amazing Massage from Vanessa and she is a lovely person aswell. Caters to your needs and  makes you feel very comfortable and relaxed. I would recommend her 110%
Harry,Love it,"Love it, using it once a week now ha"
Sarah,pregnancy massage,"I recently had a pregnancy massage, it was absolutely fantastic, my masseuse had plenty of knowledge and all in the comfort of my home"
Holly,Great,Always great massages
Abbey,Great therapists :),"Rowena was great. Punctual, professional and very good at massage."
Helen,Rowena was great!,It's a great service. I've used it 4 or 5 times now. The introduction of afterpay is appreciated and makes me likely to use it more.
A. V,It's a great service,"It was so easy to book. The masseuse turned up on time, set up the table, candle, relaxing music, heated towels and then I had the most amazing massage. It was so good having the massage at home. So easy. Would highly recommend Blys."
Julie,It was so easy to book,Great service. Recommend it for anyone home bound. They are always prompt and do good deep tissue massage as well. I’d love if they offered in home myotherapist or physio service
customer,Great service,"BLYS made it so easy for me to find a masseuse in a short time frame! I booked it at 7am for 12pm the same day and got someone instantly! The app was extremely easy to use as well! My masseuse was absolutely amazing!!!! I cannot compliment her enough, she was very well mannered and professional and best of all she gave the most amazing massage that left me feeling 100% relaxed for the rest of the day! I will definitely be booking with them again and asking for her. The whole service from booking to the end was fantastic!"
Stephanie,AMAZING!,Professional massage. On time. Very accommodating. It might cost a bit more but it’s so luxurious to have a great massage in my home home.
Sabrina,Great massage enjoyed it,"I love the extent of all your services and the different people I meet when I get massages,Thankyou very much"
Chris,Professional massage,Absolutely loved loved my massage from Belinda. The best massage I have had in a long time (and I go for a massage at least once a month!). Very professional and easy to book. Highly recommend.
Terence,I love the extent of all your services…Massage Therapy,Nice customers and easy to use the APP for the first time user
Amanda,Absolutely loved my massage!,Daniela was amazing. She was able to pick up on things that I didn’t even know myself. Such a beautiful massage and beautiful person.
customer,Therapist,"Really great massage, so professional. And super quick and easy to book. 5 stars!! It's like Endota Spa in the comfort of your own home"
George,Excellent massage,It was very easy to book! I was hesitant at first because I haven’t heard much about Blys but I would definitely use them again. Had a great massage! Thank you Blys!
customer,My masseuses have been amazing so…,"My masseuses have been amazing so professional and absolutely amazing At what they do , they even let you just get up and walk off after it over and make there own way out so you can sleep"
Harshit Raj,Everything was very professional and…,Everything was very professional and organised. Love the experience.
customer,The best massage I have ever had!,Great massage feel so much better. Loved being at home feeling relaxed 🙌🏻
Jennifer McFarlane,Great massage feel so much better!,"Easy to use and book, amazing massage. Would definitely recommend!"
Halima,Highly recommend,Narelle gave my wife a 90 min Swedish massage for Mother’s Day.... she absolutely loved it.. “it was perfect”
customer,Narelle gave my wife a 90 min Swedish…,We would highly recommend and we will definitely do it again..
customer,It was the perfect massage,"It was the perfect massage, so enjoy it."
customer,Very easy to book with easy app to use…,Very easy to book with easy app to use very friendly people prompt service excellent!!!
Michelle,Was really good massage and was very…,Was really good massage and was very convenient having them come to the office at work.
Anon,Flexible side hustle,"Flexible, easy to operate"
customer,My massage was amazing,My massage was amazing!
Joe,Absolute 5 star service,So relaxing
Peter Vitnell,It took nearly 3 hours to get a receipt…,Thank you!
Sarah,Perfect,Absolute 5 star service. Can’t wait to re book back in.
customer,Very professional and caring,It took nearly 3 hours to get a receipt after my massage and constant calling you in order to receive it
Yasmine Szarszewski,Dream massage service,Was just what I needed
Martine,My experience was amazing,Very professional and caring. I felt safe and well looked after
customer,Great,Blys was so easy to use and linked me with a fantastic masseuse Anita who was exceptional. Thank you. I will rebook!
customer,was great and easy to organise,"My experience was amazing, would recommend to anyone"
Katharine,Would 100% recommend,Great experience five stars
customer,Ingrid was super lovely and nice,Ingrid was super lovely and nice. Very professional. Pressure was perfect. Will re-book again for sure.
customer,Very professional and relaxing!,"Im a mum who one day was overwhelmed and was desperately searching the net to find a Thai massage place that was open during this covid time, but nothing! My frustration increased! Then I came across this website Blys, I read it and thought nah as if they would have it in my area. So I signed up and within 1 hour I got a reply back with a confirmation! It all of a sudden it felt like it was my bday! Oh how I needed to destress with a massage! The process was so simple and I let them do the hard work of finding a masseuse (is that how you spell it) for me. She came to my home and made it ever so relaxing (apart from hearing my kids noises in the background a little) it was heaven! Ontop of all that the BEAT feature is there was AFTERPAY!!! Will use again for sure!"
Mine Dover,Great first experience for Blys,Easy. Timely. Convenient
